Time ,Time (s),Force (N),Load Cell,Pre Time (s),Time (s),Force (N),Instron,,,
50:30,114.00,39.4,,45.484,38.136,230.1086,,,,
50:30,114.00,26.8,,45.63,38.282,235.1835,,,,
50:31,115.00,11.6,,45.806,38.458,240.2495,,,,
50:31,115.00,5.7,,45.952,38.604,245.3331,,,,
50:32,116.00,24.4,,46.074,38.726,250.3468,,,,
50:32,116.00,38.5,,46.216,38.868,255.377,,,,
50:33,117.00,55.3,,46.37,39.022,260.394,,,,
50:33,117.00,69.5,,46.538,39.19,265.4705,,,,
50:34,118.00,86.3,,46.688,39.34,270.5272,,,,
50:34,118.00,100.7,,46.834,39.486,275.5765,,,,
50:35,119.00,118,,46.952,39.604,280.6129,,,,
50:35,119.00,132.8,,47.13,39.782,285.6224,,,,
50:36,120.00,150.6,,47.268,39.92,290.6754,,,,
50:36,120.00,165.3,,47.426,40.078,295.7506,,,,
50:37,121.00,183.4,,47.58,40.232,300.7757,,,,
50:37,121.00,198.4,,47.73,40.382,305.8033,,,,
50:38,122.00,216.6,,47.878,40.53,310.8045,,,,
50:38,122.00,232.1,,47.992,40.644,315.9062,,,,
50:39,123.00,250.5,,48.15,40.802,320.9782,,,,
50:39,123.00,265.9,,48.312,40.964,326.0068,,,,
50:40,124.00,284.4,,48.47,41.122,331.11,,,,
50:40,124.00,300.2,,48.622,41.274,336.1245,,,,
50:41,125.00,319.1,,48.732,41.384,341.1575,,,,
50:41,125.00,337.7,,48.88,41.532,346.1959,,,,
50:42,126.00,353.5,,49.054,41.706,351.2571,,,,
50:42,126.00,372.2,,49.196,41.848,356.2684,,,,
50:43,127.00,388.2,,49.358,42.01,361.2951,,,,
50:43,127.00,407,,49.462,42.114,366.3072,,,,
50:44,128.00,422.8,,49.604,42.256,371.3763,,,,
50:44,128.00,442.1,,49.778,42.43,376.4251,,,,
50:45,129.00,451.7,,49.918,42.57,381.429,,,,
50:45,129.00,429.8,,50.092,42.744,386.4677,,,,
50:46,130.00,413.7,,50.206,42.858,391.4702,,,,
50:46,130.00,394.1,,50.372,43.024,396.4836,,,,
50:47,131.00,378.1,,50.5,43.152,401.524,,,,
50:47,131.00,358.5,,50.642,43.294,406.5253,,,,
50:48,132.00,342.4,,50.814,43.466,411.5854,,,,
50:48,132.00,323.1,,50.938,43.59,416.6008,,,,
50:49,133.00,307.1,,51.102,43.754,421.6304,,,,
50:49,133.00,288.1,,51.226,43.878,426.6948,,,,
50:50,134.00,271.9,,51.372,44.024,431.6989,,,,
50:50,134.00,252.9,,51.538,44.19,436.7709,,,,
50:51,135.00,237.1,,51.696,44.348,441.8255,,,,
50:51,135.00,218,,51.842,44.494,446.8282,,,,
50:52,136.00,202.4,,51.908,44.56,450.0603,,,,
50:52,136.00,183.4,,51.91,44.562,450.1486,,,,
50:53,137.00,167.9,,51.988,44.64,452.2092,,,,
50:53,137.00,149.4,,52.232,44.884,447.0563,,,,
50:54,138.00,134.2,,52.348,45,442.0342,,,,
50:54,138.00,116.3,,52.496,45.148,436.9536,,,,
50:55,139.00,101.3,,52.626,45.278,431.9178,,,,
50:55,139.00,84.3,,52.748,45.4,426.8497,,,,
50:56,140.00,70.8,,52.898,45.55,421.7414,,,,
50:56,140.00,55.2,,53.066,45.718,416.7044,,,,
50:57,141.00,42.7,,53.186,45.838,411.6688,,,,
50:57,141.00,27.4,,53.336,45.988,406.6515,,,,
50:58,142.00,14.7,,53.454,46.106,401.6065,,,,
50:58,142.00,2.8,,53.602,46.254,396.5146,,,,
50:59,143.00,3.2,,53.772,46.424,391.4394,,,,
50:59,143.00,3.4,,53.88,46.532,386.4219,,,,
51:00,144.00,3.6,,54.04,46.692,381.3651,,,,
51:00,144.00,3.6,,54.166,46.818,376.2522,,,,
51:01,145.00,3.7,,54.324,46.976,371.156,,,,
51:01,145.00,3.8,,54.486,47.138,366.0891,,,,
51:02,146.00,3.8,,54.6,47.252,361.0753,,,,
51:02,146.00,3.8,,54.742,47.394,356.0699,,,,
51:03,147.00,3.9,,54.874,47.526,351.0162,,,,
51:03,147.00,3.9,,55.03,47.682,346.0118,,,,
51:04,148.00,3.9,,55.192,47.844,340.9403,,,,
51:04,148.00,4,,55.304,47.956,335.892,,,,
51:05,149.00,4,,55.44,48.092,330.8913,,,,
,,,,55.598,48.25,325.8759,,,,
,,,,55.746,48.398,320.7915,,,,
,,,,55.91,48.562,315.6763,,,,
,,,,56.008,48.66,310.6575,,,,
,,,,56.156,48.808,305.6404,,,,
,,,,56.308,48.96,300.6236,,,,
,,,,56.456,49.108,295.5811,,,,
,,,,56.618,49.27,290.5318,,,,
,,,,56.716,49.368,285.4937,,,,
,,,,56.894,49.546,280.492,,,,
,,,,57.026,49.678,275.4848,,,,
,,,,57.178,49.83,270.398,,,,
,,,,57.332,49.984,265.3664,,,,
,,,,57.45,50.102,260.3514,,,,
,,,,57.614,50.266,255.3251,,,,
,,,,57.742,50.394,250.2681,,,,
,,,,57.896,50.548,245.1295,,,,
,,,,58.048,50.7,240.1283,,,,
,,,,58.206,50.858,235.1076,,,,
,,,,58.332,50.984,230.0721,,,,
,,,,58.472,51.124,225.0562,,,,
,,,,58.612,51.264,220.0212,,,,
,,,,58.776,51.428,214.9468,,,,
,,,,58.936,51.588,209.923,,,,
,,,,59.056,51.708,204.8877,,,,
,,,,59.192,51.844,199.8465,,,,
,,,,59.334,51.986,194.8107,,,,
,,,,59.504,52.156,189.7314,,,,
,,,,59.658,52.31,184.722,,,,
,,,,59.806,52.458,179.6815,,,,
,,,,59.932,52.584,174.6522,,,,
,,,,60.07,52.722,169.6222,,,,
,,,,60.232,52.884,164.5302,,,,
,,,,60.396,53.048,159.5154,,,,
,,,,60.54,53.192,154.5027,,,,
,,,,60.682,53.334,149.4989,,,,
,,,,60.816,53.468,144.4961,,,,
,,,,60.962,53.614,139.4875,,,,
,,,,61.132,53.784,134.4738,,,,
,,,,61.282,53.934,129.4246,,,,
,,,,61.45,54.102,124.396,,,,
,,,,61.608,54.26,119.3618,,,,
,,,,61.746,54.398,114.3579,,,,
,,,,61.908,54.56,109.3229,,,,
,,,,62.026,54.678,104.275,,,,
,,,,62.2,54.852,99.2234,,,,
,,,,62.366,55.018,94.1942,,,,
,,,,62.534,55.186,89.1648,,,,
,,,,62.706,55.358,84.126,,,,
,,,,62.868,55.52,79.1254,,,,
,,,,63.044,55.696,74.1217,,,,
,,,,63.22,55.872,69.1117,,,,
,,,,63.384,56.036,64.0874,,,,
,,,,63.552,56.204,59.0555,,,,
,,,,63.728,56.38,54.0335,,,,
,,,,63.918,56.57,49.0209,,,,
,,,,64.114,56.766,44.0092,,,,
,,,,64.276,56.928,38.9811,,,,
,,,,64.47,57.122,33.925,,,,
,,,,64.646,57.298,28.9225,,,,
,,,,64.832,57.484,23.8919,,,,
,,,,65.008,57.66,18.8818,,,,
,,,,65.168,57.82,13.8807,,,,
,,,,65.36,58.012,8.8169,,,,
,,,,65.492,58.144,4.9737,,,,
,,,,65.494,58.146,4.9242,,,,
,,,,65.538,58.19,4.0271,,,,
,,,,65.798,58.45,9.0616,,,,
,,,,65.942,58.594,14.0977,,,,
,,,,66.086,58.738,19.1277,,,,
,,,,66.236,58.888,24.1454,,,,
,,,,66.404,59.056,29.1587,,,,
,,,,66.542,59.194,34.1718,,,,
,,,,66.704,59.356,39.2541,,,,
,,,,66.87,59.522,44.3154,,,,
,,,,67.04,59.692,49.3736,,,,
,,,,67.22,59.872,54.4381,,,,
,,,,67.378,60.03,59.5076,,,,
,,,,67.548,60.2,64.5271,,,,
,,,,67.704,60.356,69.5533,,,,
,,,,67.874,60.526,74.5966,,,,
,,,,68.034,60.686,79.6188,,,,
,,,,68.158,60.81,84.6682,,,,
,,,,68.318,60.97,89.7241,,,,
,,,,68.486,61.138,94.7703,,,,
,,,,68.654,61.306,99.8592,,,,
,,,,68.824,61.476,104.9351,,,,
,,,,68.98,61.632,109.9575,,,,
,,,,69.144,61.796,115.0054,,,,
,,,,69.32,61.972,120.0363,,,,
,,,,69.432,62.084,125.0643,,,,
,,,,69.614,62.266,130.1249,,,,
,,,,69.738,62.39,135.1881,,,,
,,,,69.908,62.56,140.1918,,,,
,,,,70.08,62.732,145.198,,,,
,,,,70.236,62.888,150.3136,,,,
,,,,70.406,63.058,155.3242,,,,
,,,,70.55,63.202,160.3436,,,,
,,,,70.718,63.37,165.347,,,,
,,,,70.846,63.498,170.3577,,,,
,,,,70.98,63.632,175.4524,,,,
,,,,71.154,63.806,180.4714,,,,
,,,,71.308,63.96,185.5181,,,,
,,,,71.48,64.132,190.5802,,,,
,,,,71.64,64.292,195.6357,,,,
,,,,71.766,64.418,200.6722,,,,
,,,,71.916,64.568,205.7099,,,,
,,,,72.054,64.706,210.7383,,,,
,,,,72.226,64.878,215.8468,,,,
,,,,72.38,65.032,220.9598,,,,
,,,,72.53,65.182,225.9801,,,,
,,,,72.676,65.328,231.0059,,,,
,,,,72.83,65.482,236.028,,,,
,,,,72.964,65.616,241.0813,,,,
,,,,73.11,65.762,246.1106,,,,
,,,,73.282,65.934,251.1469,,,,
,,,,73.428,66.08,256.1812,,,,
,,,,73.596,66.248,261.1916,,,,
,,,,73.7,66.352,266.1942,,,,
,,,,73.84,66.492,271.2069,,,,
